Product Name,Product ID,Prod ID Code,Category Level 2,Price,Product Description,Store IDs
Audio Technica ATH-WS 55 On-Ear Headphone (Black),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 10-24,000 hertzOutput sound of 100 decibels per megawattsMaximum input power of 500 megawattsImpedance of 40 ohms",BIZID007
Audio Technica ATH-WS 55 On-Ear Headphone (Black/Red),,AUTECH,Audio,,"3.5 millimeter gold plated L-shaped stereo mini plugFrequency response of 10-24,000 hertzOutput sound of 100 decibels per megawattsMaximum input power of 500 megawattsImpedance of 40 ohms",BIZID025
Audio Technica QuietPoint Active Noise-Cancelling ATH-ANC23BK In-Ear Earphones,,AUTECH,Audio,,"Advanced electronics cancel up to 90% of background noise.Innovative ANC circuitry delivers an exceptionally pure audio signal in noise-cancelling model.Ideal for use with all audio sources, including MP3 & other portable players.Soft interchangeable ear pieces (small, medium & large) provide a custom fit.Included Comply(TM) Foam Tips comfortably seal the ear canal for outstanding noise.",BIZID026
Creative Airwave HD MF8160 portable speaker (Blue),,CREATIVEPRODS,Audio,,"Unlike other regular speakers, you can experience the convenience of one-touch pairing with its Near Field Communication (NFC) featureYou can also enjoy your music wirelessly on the go, as it comes with Bluetooth and a rechargeable built-in batteryThis uniquely designed speaker, packed with these amazing features, is available in four vibrant colors",BIZID025
Creative Airwave HD MF8160 portable speaker(Grey),,CREATIVEPRODS,Audio,,"Unlike other regular speakers, you can experience the convenience of one-touch pairing with its Near Field Communication (NFC) featureYou can also enjoy your music wirelessly on the go, as it comes with Bluetooth and a rechargeable built-in batteryThis uniquely designed speaker, packed with these amazing features, is available in four vibrant colors",BIZID026
Creative Airwave HD MF8165 (Red),,CREATIVEPRODS,Audio,,"Unlike other regular speakers, you can experience the convenience of one-touch pairing with its Near Field Communication (NFC) featureYou can also enjoy your music wirelessly on the go, as it comes with Bluetooth and a rechargeable built-in batteryThis uniquely designed speaker, packed with these amazing features, is available in four vibrant colors",BIZID005
Creative Airwave HD MF8165 portable speaker(Black),,CREATIVEPRODS,Audio,,"Unlike other regular speakers, you can experience the convenience of one-touch pairing with its Near Field Communication (NFC) featureYou can also enjoy your music wirelessly on the go, as it comes with Bluetooth and a rechargeable built-in batteryThis uniquely designed speaker, packed with these amazing features, is available in four vibrant colors",BIZID006
Creative Airwave HD Portable Wireless Bluetooth Speaker with NFC (Red),,CREATIVEPRODS,Audio,,"Features Near Field Communications (NFC) technology which allows for easy, one-touch pairing by simply tapping your NFC-enabled Bluetooth smart device on the speakerSmart devices that are not NFC-enabled can easily be paired to the Creative Airwave HD via Bluetooth using the conventional method; speaker also features Creative Multipoint, which allows you to connect two Bluetooth stereo devices to itEnjoy your music by connecting directly to the speaker via the integrated analog Aux-in connectorBuilt-in Li-ion battery, so you're free to place your speaker almost anywhere you please. The battery can be easily charged via a standard micro USB connection or using the included power adapterUp to 7 hours of playback time.",BIZID007
Creative Airwave MF8160 (Green),,CREATIVEPRODS,Audio,,"Unlike other regular speakers, you can experience the convenience of one-touch pairing with its Near Field Communication (NFC) featureYou can also enjoy your music wirelessly on the go, as it comes with Bluetooth and a rechargeable built-in batteryThis uniquely designed speaker, packed with these amazing features, is available in four vibrant colors",BIZID001
Creative Airwave MF8160 (Pink),,CREATIVEPRODS,Audio,,"Unlike other regular speakers, you can experience the convenience of one-touch pairing with its Near Field Communication (NFC) featureYou can also enjoy your music wirelessly on the go, as it comes with Bluetooth and a rechargeable built-in batteryThis uniquely designed speaker, packed with these amazing features, is available in four vibrant colors",BIZID002
